content,label
Gary White,-1
Highly focused with a comprehensive understanding of dealing with 1st line support calls and an in depth knowledge of ITIL processes,-1
Now looking for a suitable position with a ambitious & exciting company.,-1
Technology Maintenance Company  Coventry 1ST LINE SUPPORT  June 2008 - Present,-1
Proficiency in the troubleshooting and resolution of all client queries.,-1
ECDL,-1
"PC hardware, peripherals and Microsoft desktop OS",-1
Delonte West,-1
"A bright, talented and ambitious C developer with a strong technical background",2
C DEVELOPER June 2008 - Present,5
Working on the incorporation of smart technology & the use of portable devices.,-1
Identifying and analyse performance bottlenecks and rectifying them.,-1
Debugging,-1
Agile,-1
Matthew Frosty,-1
DATA ANALYST July 2009 - Present,-1
"Manipulating, cleansing & processing data using Excel, Access and SQL.",2
Performing daily system checks,-1
Data cleaning,-1
Afreen Jamadar.,-1
 Active member of IIIT Committee in Third year.,-1
 Sangli,-1
 Maharashtra - Email me on Indeed: indeed.com/r/Afreen-Jamadar/8baf379b705e37c6.,-1
 I wish to use my knowledge,-1
 skills and conceptual understanding to create excellent team.,-1
 environments and work consistently achieving organization objectives believes in taking initiative.,-1
 and work to excellence in my work.. .,-1
 WORK EXPERIENCE.,-1
 Active member of IIIT Committee in Third year.,-1
 Cisco Networking -  Kanpur,-1
 Uttar Pradesh.,-1
 organized by Techkriti IIT Kanpur and Azure Skynet.. PERSONALLITY TRAITS:.,-1
 Quick learning ability.,-1
 hard working.,-1
 EDUCATION.,-1
 PG-DAC.,-1
 CDAC ACTS.,-1
 2017. .,-1
 Bachelor of Engg in Information Technology.,-1
 Shivaji University Kolhapur -  Kolhapur,-1
 Maharashtra.,-1
 2016. .,-1
 SKILLS.,-1
 Database (Less than 1 year),5
 HTML (Less than 1 year),5
 Linux.,-1
 (Less than 1 year),-1
 MICROSOFT.,-1
 ACCESS (Less than 1 year),5
 MICROSOFT WINDOWS (Less than 1 year).,-1
 ADDITIONAL INFORMATION.,-1
 TECHNICAL SKILLS:.,-1
 Programming Languages: C,2
 C++,2
 Java,2
 .net,2
 php..,-1
 Web Designing: HTML,2
 XML.,-1
 Operating Systems: Windows       Windows Server 2003,-1
 Linux..,-1
 Database: MS Access,2
 MS SQL Server 2008,5
 Oracle 10g,-1
 MySql.. .,-1
 https://www.indeed.com/r/Afreen-Jamadar/8baf379b705e37c6 isid rex-download ikw download-top co IN,-1
Alok Khandai.,-1
 Operational Analyst (SQL DBA) Engineer - UNISYS.,-1
 Bengaluru,-1
 Karnataka - Email me on Indeed: indeed.com/r/Alok-Khandai/5be849e443b8f467.,-1
 Having 3.5 Years of IT experience in SQL Database Administration,5
 System Analysis,-1
 Design,-1
